objectid,title,tagline,description,url,last_update,created,item_count,featured,status,search_index,categories,type,media_types,location,latitude,longitude,date_start,date_end,notes,featured_image,image_small,image_thumb,image_alt_text,image_source,data_location,repository_location,cdmid
blackhistory,Black History at the University of Idaho,,"Research, essays and scholarship from the Black History Research Lab",https://www.lib.uidaho.edu/blackhistory/,2022-02,2022-02,620,,published,,Idaho; U of I; Black History; Sports,,documents; images; videos,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1898,2022,,https://objects.lib.uidaho.edu/blackhistory/small/ma2000_29_001_sm.jpg,https://objects.lib.uidaho.edu/blackhistory/small/ma2000_29_001_sm.jpg,https://objects.lib.uidaho.edu/blackhistory/thumbs/ma2000_29_001_th.jpg,Jennie Eva Hughes' handwritten registration card for 1899 for the University of Idaho.,https://www.lib.uidaho.edu/blackhistory/items/ma2000_29_001.html,https://www.lib.uidaho.edu/blackhistory/assets/data,https://github.com/uidaholib/bhrle2_source,
lchsphotos,Bovill Historical Photograph Collection,,Photographs from the collection of the Latah County Historical Society,https://www.lib.uidaho.edu/digital/lchsphotos/,2023-12,,153,,published,true,Idaho; Latah County,,images,"Latah County, ID",46.732824,-116.99744,1904,2000,,https://objects.lib.uidaho.edu/lchsphotos/lchsphotos72.jpg,https://objects.lib.uidaho.edu/lchsphotos/small/lchsphotos72_sm.jpg,https://objects.lib.uidaho.edu/lchsphotos/thumbs/lchsphotos72_th.jpg,People on Bovill's Main Street,https://www.lib.uidaho.edu/digital/lchsphotos/items/lchsphotos72.html,https://www.lib.uidaho.edu/digital/lchsphotos/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/lchsphotos,lchsphotos
bpf,Buddhist Peace Fellowship Digital Collection,,"Newsletters and magazines produced by the Buddhist Peace Fellowship, starting as the Buddhist Peace Fellowship Newsletter from 1979-1990 then continuing as the Turning Wheel Magazine from 1990-2010.",https://www.lib.uidaho.edu/digital/bpf/,2023-12,,102,,published,true,Newsletters; Magazines,,documents,,,,1979,2010,,https://objects.lib.uidaho.edu/bpf/small/turningwheel-fall2004_sm.jpg,https://objects.lib.uidaho.edu/bpf/small/turningwheel-fall2004_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-fall2004_th.jpg,Turning Wheel cover Fall 2004 featuring a photograph of an antiwar march,https://www.lib.uidaho.edu/digital/bpf/items/bpf086.html,https://www.lib.uidaho.edu/digital/bpf/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/bpf,
bunkerhill,Bunker Hill Labor Collection,,The Bunker Hill Labor History Collection is 463 letters of correspondence between the managers and owners of the Bunker Hill Mine &amp; Sullivan M. &amp; C. Co.,https://www.lib.uidaho.edu/digital/bunkerhill/,2023-12,,463,,published,true,Idaho; Mining; Labor,,documents,"Wardner, ID",47.523164,-116.13419,1899,1902,,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill14_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill14_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill14_th.jpg,Forest Fire 1910 - Bunker Hill correspondence,https://www.lib.uidaho.edu/digital/bunkerhill/items/bunkerhill33.html,https://www.lib.uidaho.edu/digital/bunkerhill/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/bunkerhill,bunkerhill
shattuck,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",,University of Idaho Professor Charles Houston Shattuck used these slides as a teaching tool in the early 20th century. They depict the wilderness of Idaho and Idaho residents' attempts at domesticating it.,https://www.lib.uidaho.edu/digital/shattuck/,2023-12,,212,true,published,true,Idaho; U of I; Wilderness,,images,"Selway-Bitterroot Wilderness Region; Bitterroot Mountain, ID; University of Idaho; Moscow, ID; Packers Meadows, ID; Kaniksu National Forest, MT; Lolo Hot Springs, MT;",46.724545,-117.015397,1904,1910,,https://objects.lib.uidaho.edu/shattuck/shattuck10.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck10_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck10_th.jpg,White Sand Lake (Idaho),https://www.lib.uidaho.edu/digital/shattuck/items/shattuck10.html,https://www.lib.uidaho.edu/digital/shattuck/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/shattuck,spec_cs
camasrailroad,Camas Prairie Railroad Time Tables,,"Time Table Documents from the Camas Prairie Railroad, operated by Northern Pacific Railway",https://www.lib.uidaho.edu/digital/camasrailroad/,2023-12,,137,,published,true,Idaho; Railroads,,documents,"Lewiston, ID",46.40733431,-116.9976104,1909,1997,,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables059_sm.jpg,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables059_sm.jpg,https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables059_th.jpg,"Camas Prairie Railroad Co. Employees' Time Table 59 Effective January 25, 1926 12:01 A. M. ""Pacific Time"".",https://www.lib.uidaho.edu/digital/camasrailroad/items/cprr076.html,https://www.lib.uidaho.edu/digital/camasrailroad/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/camasrailroad,
campusart,Campus Artwork,,An overview of the artworks owned by the University of Idaho. Many are publicly accessible.,https://www.lib.uidaho.edu/digital/campusart/,2023-12,,532,,published,,Campus; U of I,Campus Collections,images,"University of Idaho; Moscow, ID;",46.728347,-117.007264,,,"sheet titled ""campusart artwork collection digital working copy"" https://docs.google.com/spreadsheets/d/1Viz3e2-UTP0Mwgr4-MkMuyHw_MZXGuwrp0BeaI2uLE4/edit?usp=sharing",https://objects.lib.uidaho.edu/campusart/094664.jpg,https://objects.lib.uidaho.edu/campusart/small/094664_sm.jpg,https://objects.lib.uidaho.edu/campusart/thumbs/094664_th.jpg,triangular shaped welded steel mounted on concrete,https://www.lib.uidaho.edu/digital/campusart/items/campusart015.html,https://www.lib.uidaho.edu/digital/campusart/assets/data,https://github.com/uidaholib/campus-collections-template/tree/campusart,
lrcdp,Campus Planning History,,"A collection of items illustrating the University of Idaho campus development plans, from the Olmsted Brothers to Today.",https://www.lib.uidaho.edu/digital/lrcdp/,2023-12,,11,,published,true,Campus; U of I,Campus Collections,images; documents,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1908,2021,,https://objects.lib.uidaho.edu/lrcdp/lrcdp-1925.jpg,https://objects.lib.uidaho.edu/lrcdp/small/lrcdp-1925_sm.jpg,https://objects.lib.uidaho.edu/lrcdp/thumbs/lrcdp-1925_th.jpg,Image of 1997 Illustrative Plan,https://www.lib.uidaho.edu/digital/lrcdp/items/lrcdp-1925.html,https://www.lib.uidaho.edu/digital/lrcdp/assets/data,https://github.com/uidaholib/campus-collections-template/tree/lrcdp,
watkins,Carleton Watkins Mine Interiors Collection,,"Among the riches of the historical photograph collections of the University of Idaho Library is an oversize portfolio of eighty original Carleton E. Watkins photographs. Long considered lost, these photographs of the interior of the Anaconda Mines in Butte, Montana, were taken in 1890. They show early hard-rock mining techniques, equipment, and men deep underground.",https://www.lib.uidaho.edu/digital/watkins/,2023-12,,80,,published,true,Mining; Northwest,,images,"Butte, MT",46.036746,-112.506437,1890,1891,,https://objects.lib.uidaho.edu/watkins/watkins62.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins62_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins62_th.jpg,historic photograph in an underground mine showing miners drilling in ore,https://www.lib.uidaho.edu/digital/watkins/items/watkins62.html,https://www.lib.uidaho.edu/digital/watkins/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/watkins,watkins
cattle,Cattle Producer's Handbook Collection,,"The Cattle Producer's Handbook is prepared by the Western Beef Resource Committee (WBRC), which consists of beef specialists, economists, range scientists, animal nutritionists, county educators, and veterinarians from the Cooperative Extension System and cattle industry.",https://www.lib.uidaho.edu/digital/cattle/,2023-12,,12,,published,true,Research; Agriculture; Environmental; Idaho; U of I,,documents,"Twin Falls, ID",42.562404,-114.460263,2014,2018,,https://objects.lib.uidaho.edu/media/cattle64.jpg,https://objects.lib.uidaho.edu/media/small/cattle64_sm.jpg,https://objects.lib.uidaho.edu/media/thumbs/cattle64_th.jpg,three dairy cows on U of I campus,,https://www.lib.uidaho.edu/digital/cattle/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/cattle,cattle
chatcolab,Chatcolab NW Leadership Lab Collection,,The Chatcolab Northwest Leadership Laboratory has been running each summer since 1949. Chatcolab offers a unique opportunity to build leadership by engaging in the creative planning and then sharing of a recreational experience.,https://www.lib.uidaho.edu/digital/chatcolab/,2023-12,,65,,published,true,Idaho; Northwest; Research,,documents,"Rathdrum, ID",47.877418,-116.856805,1949,1995,,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab12_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab12_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab12_th.jpg,Chatcolab Packet 1968,https://www.lib.uidaho.edu/digital/chatcolab/items/chatcolab12.html,https://www.lib.uidaho.edu/digital/chatcolab/assets/data,https://github.com/uidaholib/documents-digital-collections-template/tree/chatcolab,chatcolab
cnr,College of Natural Resources Collection,,"The College of Natural Resources (CNR) has a long-standing history, beginning in 1909 and continuing to this present day. During the expanse of 100+ years, CNR has reshaped its mission and services, thanks to the leadership and vision of its Deans. This digital collection includes a majority of materials pertaining to the album University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984. There are a wide breadth of featured material types: documents, correspondence, brochures, pictures, journals, and video and audio files.",https://www.lib.uidaho.edu/digital/cnr,2023-12,,50,,published,true,Idaho; U of I; Research; Campus,,documents; images; videos,"University of Idaho; Moscow, ID;",46.73013211,-117.01258,1907,2009,,https://objects.lib.uidaho.edu//cnr/ug92_box5_folder60_forestproductslab1990.jpg,https://objects.lib.uidaho.edu//cnr/small/ug92_box5_folder60_forestproductslab1990_sm.jpg,https://objects.lib.uidaho.edu//cnr/thumbs/ug92_box5_folder60_forestproductslab1990_th.jpg,researchers in the forest products lab looking at beakers,https://www.lib.uidaho.edu/digital/cnr/items/cnr032.html,https://www.lib.uidaho.edu/digital/cnr/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/cnr,
crbp,Columbia River Basin Project: Dam Construction in the Pacific Northwest,,"Digitized photographs pertaining to the Columbia Basin Project. Special emphasis is placed on the construction of Grand Coulee Dam, the canal systems of Central Washington, and numerous other dams in the Inland Northwest.",https://www.lib.uidaho.edu/digital/crbp/,2023-12,,456,,published,true,Dams; Construction; Water; Northwest,,images,"Grand Coulee, WA; Canal systems of Central Washington",47.959223,-118.974938,1933,1965,,https://objects.lib.uidaho.edu/crbp/crbp1040.jpg,https://objects.lib.uidaho.edu/crbp/small/crbp1040_sm.jpg,https://objects.lib.uidaho.edu/crbp/thumbs/crbp1040_th.jpg,Man stands on siphon,https://www.lib.uidaho.edu/digital/crbp/items/crbp1040.html,https://www.lib.uidaho.edu/digital/crbp/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/crbp,crbproj
cougar-dave,Cougar Dave Collection,,"This collection includes photographs and documents related to David Lewis (i.e. Cougar Dave) and the purchase of Taylor Ranch. Also included are interviews with Jess and Dorothy Taylor, who purchased Cougar Dave's ranch, and documents regarding the University of Idaho's purchase of the property from the Taylor Family.",https://www.lib.uidaho.edu/digital/cougar-dave/,2024-07,2024-07,290,,published,true,Photographs; Letters; Records,,documents; images; videos,"University of Idaho;McCall, Idaho;Taylor Ranch;Boise, Idaho;",,,1907,2000,,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-015a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-015a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-015a_th.jpg,David Lewis standing in front of a rustic log cabin,https://www.lib.uidaho.edu/digital/cougar-dave/items/cougar-dave_082.html,https://www.lib.uidaho.edu/digital/cougar-dave/assets/data,https://github.com/uidaholib/base-digital-collections-template/tree/cougar-dave,
